City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,avarua,-21.2078,-159.775,24.03,60,20,3.09,CK,1693259833
83,stanley,54.868,-1.6985,13.21,85,20,3.6,GB,1693259833
84,ushuaia,-54.8,-68.3,4.81,70,40,8.75,AR,1693259707
85,crane,31.3974,-102.3501,31.11,40,68,3.56,US,1693259834
86,isafjordur,66.0755,-23.124,8.86,90,40,2.37,IS,1693259834
87,ghanzi,-21.5667,21.7833,16.09,47,0,5.6,BW,1693259834
88,naracoorte,-36.9579,140.7383,13.91,59,100,4.32,AU,1693259835
89,carmi,38.0909,-88.1587,29.52,51,40,2.57,US,1693259835
90,hami,42.8,93.45,29.19,16,93,8.67,CN,1693259836
91,tofol,5.3248,163.0078,28.95,76,99,4.73,FM,1693259836
92,garko,10.1751,11.1646,24.97,74,5,3.29,NG,1693259836
93,pospelikha,51.95,81.7667,16.7,59,100,4.54,RU,1693259837
94,chonchi,-42.6128,-73.8092,9.56,83,41,1.29,CL,1693259837
95,kabba,7.8287,6.0731,22.89,92,73,1.8,NG,1693259838
96,wailua homesteads,22.0669,-159.378,28.24,76,75,3.09,US,1693259838
97,siwa oasis,29.2041,25.5195,31.48,28,0,3.03,EG,1693259838
98,priozersk,61.0393,30.1291,14.49,91,95,6.07,RU,1693259579
99,cacoal,-11.4386,-61.4472,29.83,49,77,1.56,BR,1693259839
100,tolanaro,-25.0319,46.9987,20.04,60,75,6.17,MG,1693259840
101,palm city,27.1678,-80.2662,32.23,83,75,6.69,US,1693259780
102,bilibino,68.0546,166.4372,9.94,63,68,1.91,RU,1693259841
103,dali,25.7,100.1833,16.24,94,100,1.41,CN,1693259841
104,maloyaroslavets,55.0146,36.4719,12.72,78,100,2.38,RU,1693259842
105,fale old settlement,-9.3852,-171.2468,28.37,75,89,7.66,TK,1693259842
106,el granada,37.5027,-122.4694,33.84,64,0,10.8,US,1693259842
107,polyarnyy,69.1989,33.4478,10.31,81,100,2.08,RU,1693259843
108,qarauyl,48.9451,79.255,14.13,48,62,3.35,KZ,1693259843
109,new norfolk,-42.7826,147.0587,11.07,95,60,1.27,AU,1693259844
110,iquique,-20.2208,-70.1431,20.02,75,24,1.69,CL,1693259639
111,ohara,35.25,140.3833,26.96,85,3,5.72,JP,1693259844
112,santa luzia,-19.7697,-43.8514,19.6,78,75,4.63,BR,1693259845
113,bodo,67.28,14.405,15.99,73,0,3.6,NO,1693259845
114,koshki,54.2091,50.4677,10.28,86,100,8.32,RU,1693259846
115,san sebastian de la gomera,28.0916,-17.1133,25.2,64,0,3.09,ES,1693259846
116,nagqu,31.5,92.0,2.1,97,66,2.29,CN,1693259846
117,port alfred,-33.5906,26.891,14.54,92,22,0.45,ZA,1693259847
118,oriximina,-1.7656,-55.8661,32.58,39,75,1.59,BR,1693259847
119,ancud,-41.8697,-73.8203,8.22,74,13,2.49,CL,1693259847
120,sambava,-14.2667,50.1667,20.45,88,15,5.01,MG,1693259848
121,puerto natales,-51.7236,-72.4875,2.12,95,88,1.43,CL,1693259848
122,chongwe,-15.3292,28.682,13.79,72,0,3.29,ZM,1693259849
123,constantia,44.1833,28.65,24.38,57,0,3.07,RO,1693259646
124,young,-32.6833,-57.6333,10.47,37,100,3.62,UY,1693259849
125,nova sintra,14.8667,-24.7167,24.95,76,83,4.08,CV,1693259851
126,saint-francois,46.4154,3.9054,15.69,77,0,3.09,FR,1693259851
127,westport,41.1415,-73.3579,24.06,80,75,5.14,US,1693259851
128,kilindoni,-7.9139,39.6668,25.11,82,33,9.19,TZ,1693259852
129,iskateley,67.6803,53.1512,7.72,85,97,0.88,RU,1693259852
130,puente nacional,5.8774,-73.6781,21.61,77,69,0.42,CO,1693259854
131,parnu,58.3859,24.4971,15.05,100,75,2.57,EE,1693259855
132,sitka,57.0531,-135.33,17.94,77,0,2.06,US,1693259855
133,axim,4.8699,-2.2405,24.22,93,93,2.8,GH,1693259557
134,ocean shores,46.9737,-124.1563,20.0,84,100,5.14,US,1693259856
135,vorgashor,67.5833,63.95,4.64,91,29,1.15,RU,1693259856
136,east london,-33.0153,27.9116,17.15,79,90,6.52,ZA,1693259857
137,lorengau,-2.0226,147.2712,27.5,84,43,4.98,PG,1693259857
138,weno,7.4515,151.8468,26.97,89,100,3.09,FM,1693259857
139,gwaram,11.2764,9.8858,25.19,70,2,1.81,NG,1693259858
140,erdenet,49.0333,104.0833,12.96,83,43,1.32,MN,1693259858
141,enewetak,11.3474,162.3373,28.81,79,80,8.92,MH,1693259859
142,beyneu,45.3167,55.2,21.48,59,91,3.76,KZ,1693259859
143,bredasdorp,-34.5322,20.0403,12.47,69,0,2.07,ZA,1693259859
144,kerikeri,-35.2268,173.9474,10.51,92,5,0.45,NZ,1693259860
145,keflavik,64.0049,-22.5624,11.95,93,75,6.69,IS,1693259860
146,prado,-17.3411,-39.2208,21.8,91,100,4.47,BR,1693259860
147,khovd,48.0056,91.6419,21.55,25,100,3.06,MN,1693259861
148,kill devil hills,36.0307,-75.676,28.88,86,100,0.0,US,1693259861
149,fortuna,40.5982,-124.1573,22.18,68,0,7.2,US,1693259862
150,ilulissat,69.2167,-51.1,3.65,94,100,2.89,GL,1693259862
151,alaghsas,17.0187,8.0168,27.47,52,99,8.69,NE,1693259862
152,richards bay,-28.783,32.0377,15.64,81,8,2.95,ZA,1693259863
153,chegdomyn,51.1167,133.0167,12.82,80,57,0.49,RU,1693259863
154,kandyagash,49.4744,57.4233,10.77,65,100,2.9,KZ,1693259796
155,bel ombre,-4.6167,55.4167,25.91,83,75,4.63,SC,1693259864
156,mocimboa,-11.3167,40.35,23.81,68,2,7.06,MZ,1693259865
157,san antonio de pale,-1.4014,5.6325,24.16,86,40,5.39,GQ,1693259865
158,kununurra,-15.7667,128.7333,14.99,72,65,0.51,AU,1693259865
159,saurimo,-9.6608,20.3916,21.77,22,0,2.9,AO,1693259866
160,touros,-5.1989,-35.4608,24.82,82,0,4.11,BR,1693259866
161,kailua-kona,19.6406,-155.9956,30.15,69,40,4.63,US,1693259714
162,vila franca do campo,37.7167,-25.4333,23.23,87,29,3.7,PT,1693259867
163,hithadhoo,-0.6,73.0833,27.55,78,64,4.0,MV,1693259867
164,vila velha,-20.3297,-40.2925,19.97,98,100,2.06,BR,1693259867
165,kirkland lake,48.1446,-80.0377,23.16,33,24,3.09,CA,1693259868
166,talara,-4.5772,-81.2719,26.42,61,0,7.31,PE,1693259528
167,isoka,-10.1606,32.6335,15.54,70,28,3.99,ZM,1693259869
168,lazaro cardenas,17.9583,-102.2,30.75,69,11,3.5,MX,1693259869
169,saudarkrokur,65.7461,-19.6394,7.39,98,58,2.74,IS,1693259870
170,saint-pierre,-21.3393,55.4781,21.82,68,75,2.06,RE,1693259870
171,lompoc,34.6391,-120.4579,37.23,66,0,8.05,US,1693259657
172,castillos,-34.1667,-53.8333,8.35,87,79,2.78,UY,1693259871
173,plouzane,48.3833,-4.6167,15.03,80,100,3.09,FR,1693259871
174,nishon tumani,38.694,65.6751,16.14,41,0,0.0,UZ,1693259872
175,bryne,58.7354,5.6477,14.43,91,100,2.06,NO,1693259872
176,vallenar,-28.5708,-70.7581,22.33,23,2,1.85,CL,1693259872
177,milford,41.2223,-73.0565,23.63,74,75,5.14,US,1693259873
178,castilho,-20.8722,-51.4875,23.04,47,15,1.61,BR,1693259873
179,moree,-29.4667,149.85,14.22,76,57,4.36,AU,1693259874
180,abong mbang,3.9833,13.1833,20.64,97,88,0.95,CM,1693259874
181,tangalle,6.024,80.7911,26.09,84,100,4.67,LK,1693259874
182,kingston,17.997,-76.7936,32.53,72,20,6.69,JM,1693259694
183,aasiaat,68.7098,-52.8699,3.59,96,100,4.03,GL,1693259875
184,shingu,33.7333,135.9833,25.72,84,11,0.83,JP,1693259877
185,dadukou,26.5479,101.7054,19.35,82,100,0.87,CN,1693259877
186,harper,4.375,-7.7169,24.64,85,95,2.88,LR,1693259879
187,al bayda',32.7627,21.7551,23.21,41,0,1.08,LY,1693259880
188,sogndal,61.2283,7.1003,13.21,93,100,1.03,NO,1693259880
189,kargopol',61.5071,38.9456,6.34,88,11,2.3,RU,1693259881
190,upington,-28.4478,21.2561,17.21,27,7,3.6,ZA,1693259881
191,brak,27.5496,14.2714,36.01,18,91,3.22,LY,1693259881
192,dudinka,69.4058,86.1778,6.46,85,99,1.79,RU,1693259882
193,vredendal,-31.6683,18.5012,21.4,20,0,4.93,ZA,1693259882
194,mar del plata,-38.0023,-57.5575,11.72,68,0,7.6,AR,1693259882
